案件ID,行程,メンバー,所属,チーム,月,時間
PJ-2019-A,背景モデリング,PTB-A0082,協力会社B,3DCGチーム,2021-02,122.1
PJ-2019-A,進行管理,EMP-A0129,自社,PMO,2021-02,143.0
PJ-2019-A,進行管理,EMP-A0132,自社,PMO,2021-02,84.0
PJ-2019-A,2Dイラスト,EMP-A0054,自社,アート部,2021-03,48.7
PJ-2019-A,2Dイラスト,EMP-A0055,自社,アート部,2021-03,135.4
PJ-2019-A,2Dイラスト,EMP-A0068,自社,アート部,2021-03,13.1
PJ-2019-A,2Dイラスト,PTB-A0072,協力会社B,3DCGチーム,2021-03,109.1
PJ-2019-A,2Dイラスト,PTB-A0073,協力会社B,3DCGチーム,2021-03,202.0
PJ-2019-A,2Dイラスト,PTC-A0088,協力会社C,2Dアートチーム,2021-03,145.8
PJ-2019-A,BGM制作,EMP-A0094,自社,サウンド部,2021-03,39.2
PJ-2019-A,BGM制作,EMP-A0095,自社,サウンド部,2021-03,43.9
PJ-2019-A,BGM制作,EMP-A0096,自社,サウンド部,2021-03,185.6
PJ-2019-A,BGM制作,EMP-A0097,自社,サウンド部,2021-03,172.3
PJ-2019-A,QA計画・進行,PTC-A0119,協力会社C,デバッグチーム,2021-03,94.1
PJ-2019-A,QA計画・進行,PTC-A0124,協力会社C,デバッグチーム,2021-03,117.2
PJ-2019-A,SE制作,EMP-A0093,自社,サウンド部,2021-03,138.1
PJ-2019-A,SE制作,EMP-A0095,自社,サウンド部,2021-03,66.8
PJ-2019-A,SE制作,PTC-A0100,協力会社C,サウンドチーム,2021-03,104.0
PJ-2019-A,UI/UX設計,EMP-A0015,自社,ゲームデザイン部,2021-03,82.9
PJ-2019-A,UI/UX設計,EMP-A0018,自社,ゲームデザイン部,2021-03,93.5
PJ-2019-A,UIアート,EMP-A0057,自社,アート部,2021-03,110.0
PJ-2019-A,UIアート,EMP-A0061,自社,アート部,2021-03,45.9
PJ-2019-A,UIアート,EMP-A0065,自社,アート部,2021-03,124.9
PJ-2019-A,UIアート,EMP-A0067,自社,アート部,2021-03,118.2
PJ-2019-A,UIアート,PTB-A0072,協力会社B,3DCGチーム,2021-03,33.2
PJ-2019-A,UIアート,PTB-A0076,協力会社B,3DCGチーム,2021-03,156.6
PJ-2019-A,UIアート,PTB-A0077,協力会社B,3DCGチーム,2021-03,151.2
PJ-2019-A,アニメーション,EMP-A0057,自社,アート部,2021-03,82.6
PJ-2019-A,アニメーション,EMP-A0062,自社,アート部,2021-03,111.8
PJ-2019-A,アニメーション,PTB-A0069,協力会社B,3DCGチーム,2021-03,65.6
PJ-2019-A,アニメーション,PTB-A0073,協力会社B,3DCGチーム,2021-03,46.1
PJ-2019-A,アニメーション,PTB-A0074,協力会社B,3DCGチーム,2021-03,165.9
PJ-2019-A,アニメーション,PTB-A0076,協力会社B,3DCGチーム,2021-03,154.6
PJ-2019-A,アニメーション,PTB-A0077,協力会社B,3DCGチーム,2021-03,127.6
PJ-2019-A,アニメーション,PTB-A0081,協力会社B,3DCGチーム,2021-03,96.9
PJ-2019-A,アニメーション,PTC-A0091,協力会社C,2Dアートチーム,2021-03,103.1
PJ-2019-A,エフェクト,EMP-A0057,自社,アート部,2021-03,181.3
PJ-2019-A,エフェクト,EMP-A0066,自社,アート部,2021-03,141.6
PJ-2019-A,エフェクト,PTB-A0071,協力会社B,3DCGチーム,2021-03,68.9
PJ-2019-A,エフェクト,PTB-A0073,協力会社B,3DCGチーム,2021-03,143.5
PJ-2019-A,エフェクト,PTC-A0085,協力会社C,2Dアートチーム,2021-03,28.0
PJ-2019-A,エフェクト,PTC-A0092,協力会社C,2Dアートチーム,2021-03,132.6
PJ-2019-A,エンジン開発,EMP-A0025,自社,第1開発部,2021-03,146.0
PJ-2019-A,エンジン開発,EMP-A0029,自社,第1開発部,2021-03,105.8
PJ-2019-A,エンジン開発,EMP-A0033,自社,第1開発部,2021-03,97.1
PJ-2019-A,エンジン開発,PTB-A0050,協力会社B,エンジニアリングチーム,2021-03,98.3
PJ-2019-A,キャラクターモデリング,EMP-A0055,自社,アート部,2021-03,174.0
PJ-2019-A,キャラクターモデリング,EMP-A0056,自社,アート部,2021-03,107.1
PJ-2019-A,キャラクターモデリング,EMP-A0057,自社,アート部,2021-03,121.3
PJ-2019-A,キャラクターモデリング,EMP-A0058,自社,アート部,2021-03,73.3
PJ-2019-A,キャラクターモデリング,EMP-A0059,自社,アート部,2021-03,89.9
PJ-2019-A,キャラクターモデリング,EMP-A0066,自社,アート部,2021-03,110.4
PJ-2019-A,キャラクターモデリング,PTB-A0078,協力会社B,3DCGチーム,2021-03,151.3
PJ-2019-A,キャラクターモデリング,PTB-A0082,協力会社B,3DCGチーム,2021-03,113.6
PJ-2019-A,キャラクターモデリング,PTC-A0084,協力会社C,2Dアートチーム,2021-03,104.5
PJ-2019-A,キャラクターモデリング,PTC-A0087,協力会社C,2Dアートチーム,2021-03,31.6
PJ-2019-A,キャラクターモデリング,PTC-A0092,協力会社C,2Dアートチーム,2021-03,150.7
PJ-2019-A,クライアント実装,EMP-A0028,自社,第1開発部,2021-03,58.0
PJ-2019-A,クライアント実装,EMP-A0030,自社,第1開発部,2021-03,138.1
PJ-2019-A,クライアント実装,EMP-A0032,自社,第1開発部,2021-03,147.4
PJ-2019-A,クライアント実装,EMP-A0033,自社,第1開発部,2021-03,75.6
PJ-2019-A,クライアント実装,EMP-A0037,自社,第2開発部,2021-03,114.9
PJ-2019-A,クライアント実装,EMP-A0038,自社,第2開発部,2021-03,114.4
PJ-2019-A,クライアント実装,EMP-A0040,自社,第2開発部,2021-03,138.2
PJ-2019-A,クライアント実装,EMP-A0041,自社,第2開発部,2021-03,168.2
PJ-2019-A,クライアント実装,PTB-A0050,協力会社B,エンジニアリングチーム,2021-03,61.1
PJ-2019-A,ゲームバランス調整,EMP-A0013,自社,ゲームデザイン部,2021-03,131.6
PJ-2019-A,サーバ実装,EMP-A0023,自社,第1開発部,2021-03,90.0
PJ-2019-A,サーバ実装,EMP-A0024,自社,第1開発部,2021-03,134.3
PJ-2019-A,サーバ実装,EMP-A0035,自社,第1開発部,2021-03,60.1
PJ-2019-A,サーバ実装,EMP-A0039,自社,第2開発部,2021-03,79.2
PJ-2019-A,サーバ実装,EMP-A0042,自社,第2開発部,2021-03,200.6
PJ-2019-A,シナリオ執筆,EMP-A0010,自社,ゲームデザイン部,2021-03,94.9
PJ-2019-A,シナリオ執筆,PTA-A0020,協力会社A,GDチーム,2021-03,120.8
PJ-2019-A,ツール開発,EMP-A0036,自社,第1開発部,2021-03,41.6
PJ-2019-A,ツール開発,PTA-A0045,協力会社A,開発支援チーム,2021-03,88.5
PJ-2019-A,ツール開発,PTA-A0047,協力会社A,開発支援チーム,2021-03,186.6
PJ-2019-A,デバッグ,EMP-A0103,自社,QA部,2021-03,171.3
PJ-2019-A,デバッグ,PTC-A0114,協力会社C,デバッグチーム,2021-03,114.2
PJ-2019-A,デバッグ,PTC-A0115,協力会社C,デバッグチーム,2021-03,88.3
PJ-2019-A,デバッグ,PTC-A0118,協力会社C,デバッグチーム,2021-03,83.6
PJ-2019-A,デバッグ,PTC-A0121,協力会社C,デバッグチーム,2021-03,142.5
PJ-2019-A,デバッグ,PTC-A0124,協力会社C,デバッグチーム,2021-03,77.4
PJ-2019-A,デバッグ,PTC-A0126,協力会社C,デバッグチーム,2021-03,87.5
PJ-2019-A,バトルデザイン,EMP-A0011,自社,ゲームデザイン部,2021-03,106.0
PJ-2019-A,バトルデザイン,EMP-A0018,自社,ゲームデザイン部,2021-03,123.6
PJ-2019-A,プロジェクト管理,EMP-A0127,自社,PMO,2021-03,40.8
PJ-2019-A,プロジェクト管理,EMP-A0129,自社,PMO,2021-03,182.2
PJ-2019-A,プロジェクト管理,EMP-A0130,自社,PMO,2021-03,129.2
PJ-2019-A,プロジェクト管理,EMP-A0132,自社,PMO,2021-03,98.3
PJ-2019-A,プロトタイプ制作,EMP-A0002,自社,企画部,2021-03,24.1
PJ-2019-A,ボイス収録,EMP-A0094,自社,サウンド部,2021-03,101.7
PJ-2019-A,ボイス収録,EMP-A0095,自社,サウンド部,2021-03,84.4
PJ-2019-A,レベルデザイン,EMP-A0013,自社,ゲームデザイン部,2021-03,109.3
PJ-2019-A,レベルデザイン,EMP-A0015,自社,ゲームデザイン部,2021-03,103.2
PJ-2019-A,レベルデザイン,EMP-A0016,自社,ゲームデザイン部,2021-03,83.1
PJ-2019-A,ローカライズQA,PTC-A0124,協力会社C,デバッグチーム,2021-03,152.7
PJ-2019-A,企画書作成,EMP-A0001,自社,企画部,2021-03,10.0
PJ-2019-A,企画立案,EMP-A0001,自社,企画部,2021-03,19.9
PJ-2019-A,市場調査,EMP-A0005,自社,企画部,2021-03,11.1
PJ-2019-A,最適化,EMP-A0023,自社,第1開発部,2021-03,112.2
PJ-2019-A,最適化,EMP-A0026,自社,第1開発部,2021-03,127.6
PJ-2019-A,最適化,EMP-A0028,自社,第1開発部,2021-03,81.3
PJ-2019-A,最適化,PTB-A0049,協力会社B,エンジニアリングチーム,2021-03,149.1
PJ-2019-A,最適化,PTB-A0050,協力会社B,エンジニアリングチーム,2021-03,45.1
PJ-2019-A,移植対応,EMP-A0027,自社,第1開発部,2021-03,141.5
PJ-2019-A,移植対応,EMP-A0029,自社,第1開発部,2021-03,79.1
PJ-2019-A,移植対応,EMP-A0031,自社,第1開発部,2021-03,127.5
PJ-2019-A,背景モデリング,EMP-A0054,自社,アート部,2021-03,53.2
PJ-2019-A,背景モデリング,EMP-A0055,自社,アート部,2021-03,186.0
PJ-2019-A,背景モデリング,EMP-A0056,自社,アート部,2021-03,78.7
PJ-2019-A,背景モデリング,EMP-A0058,自社,アート部,2021-03,78.7
PJ-2019-A,背景モデリング,EMP-A0061,自社,アート部,2021-03,168.4
PJ-2019-A,背景モデリング,EMP-A0065,自社,アート部,2021-03,103.6
PJ-2019-A,背景モデリング,EMP-A0067,自社,アート部,2021-03,90.7
PJ-2019-A,背景モデリング,PTB-A0069,協力会社B,3DCGチーム,2021-03,31.6
PJ-2019-A,背景モデリング,PTB-A0070,協力会社B,3DCGチーム,2021-03,150.1
PJ-2019-A,背景モデリング,PTB-A0072,協力会社B,3DCGチーム,2021-03,91.3
PJ-2019-A,背景モデリング,PTB-A0073,協力会社B,3DCGチーム,2021-03,127.9
PJ-2019-A,背景モデリング,PTB-A0080,協力会社B,3DCGチーム,2021-03,163.0
PJ-2019-A,背景モデリング,PTB-A0081,協力会社B,3DCGチーム,2021-03,114.1
PJ-2019-A,進行管理,EMP-A0127,自社,PMO,2021-03,167.8
PJ-2019-A,進行管理,EMP-A0128,自社,PMO,2021-03,89.0
PJ-2019-A,進行管理,EMP-A0131,自社,PMO,2021-03,51.0
PJ-2019-A,2Dイラスト,EMP-A0061,自社,アート部,2021-04,60.2
PJ-2019-A,2Dイラスト,EMP-A0064,自社,アート部,2021-04,248.8
PJ-2019-A,2Dイラスト,PTB-A0076,協力会社B,3DCGチーム,2021-04,51.9
PJ-2019-A,2Dイラスト,PTB-A0077,協力会社B,3DCGチーム,2021-04,26.4
PJ-2019-A,2Dイラスト,PTB-A0079,協力会社B,3DCGチーム,2021-04,151.4
PJ-2019-A,2Dイラスト,PTC-A0087,協力会社C,2Dアートチーム,2021-04,110.0
PJ-2019-A,BGM制作,EMP-A0093,自社,サウンド部,2021-04,66.0
PJ-2019-A,BGM制作,EMP-A0094,自社,サウンド部,2021-04,137.7
PJ-2019-A,BGM制作,EMP-A0095,自社,サウンド部,2021-04,133.8
PJ-2019-A,BGM制作,EMP-A0096,自社,サウンド部,2021-04,81.5
PJ-2019-A,BGM制作,EMP-A0097,自社,サウンド部,2021-04,94.6
PJ-2019-A,QA計画・進行,EMP-A0102,自社,QA部,2021-04,57.6
PJ-2019-A,QA計画・進行,PTC-A0109,協力会社C,デバッグチーム,2021-04,143.2
PJ-2019-A,QA計画・進行,PTC-A0110,協力会社C,デバッグチーム,2021-04,132.1
PJ-2019-A,SE制作,EMP-A0093,自社,サウンド部,2021-04,160.9
PJ-2019-A,SE制作,EMP-A0094,自社,サウンド部,2021-04,62.9
PJ-2019-A,SE制作,EMP-A0096,自社,サウンド部,2021-04,132.4
PJ-2019-A,UI/UX設計,EMP-A0011,自社,ゲームデザイン部,2021-04,135.2
PJ-2019-A,UIアート,EMP-A0053,自社,アート部,2021-04,63.1
PJ-2019-A,UIアート,EMP-A0055,自社,アート部,2021-04,135.7
PJ-2019-A,UIアート,EMP-A0059,自社,アート部,2021-04,46.7
PJ-2019-A,UIアート,PTB-A0081,協力会社B,3DCGチーム,2021-04,142.3
PJ-2019-A,UIアート,PTC-A0087,協力会社C,2Dアートチーム,2021-04,100.2
PJ-2019-A,UIアート,PTC-A0092,協力会社C,2Dアートチーム,2021-04,166.4
PJ-2019-A,アニメーション,EMP-A0057,自社,アート部,2021-04,237.7
PJ-2019-A,アニメーション,EMP-A0061,自社,アート部,2021-04,99.7
PJ-2019-A,アニメーション,EMP-A0065,自社,アート部,2021-04,95.8
PJ-2019-A,アニメーション,PTB-A0069,協力会社B,3DCGチーム,2021-04,41.4
PJ-2019-A,アニメーション,PTB-A0074,協力会社B,3DCGチーム,2021-04,167.2
PJ-2019-A,アニメーション,PTB-A0077,協力会社B,3DCGチーム,2021-04,75.1
PJ-2019-A,アニメーション,PTB-A0082,協力会社B,3DCGチーム,2021-04,69.4
PJ-2019-A,アニメーション,PTC-A0086,協力会社C,2Dアートチーム,2021-04,116.1
PJ-2019-A,エフェクト,EMP-A0054,自社,アート部,2021-04,77.8
PJ-2019-A,エフェクト,EMP-A0060,自社,アート部,2021-04,76.7
PJ-2019-A,エフェクト,EMP-A0063,自社,アート部,2021-04,48.7
PJ-2019-A,エフェクト,EMP-A0066,自社,アート部,2021-04,94.0
PJ-2019-A,エフェクト,PTB-A0076,協力会社B,3DCGチーム,2021-04,105.0
PJ-2019-A,エフェクト,PTB-A0079,協力会社B,3DCGチーム,2021-04,221.0
PJ-2019-A,エンジン開発,EMP-A0025,自社,第1開発部,2021-04,47.2
PJ-2019-A,エンジン開発,EMP-A0030,自社,第1開発部,2021-04,140.8
PJ-2019-A,エンジン開発,EMP-A0032,自社,第1開発部,2021-04,136.6
PJ-2019-A,エンジン開発,EMP-A0036,自社,第1開発部,2021-04,122.0
PJ-2019-A,キャラクターモデリング,EMP-A0053,自社,アート部,2021-04,103.3
PJ-2019-A,キャラクターモデリング,EMP-A0055,自社,アート部,2021-04,69.7
PJ-2019-A,キャラクターモデリング,EMP-A0060,自社,アート部,2021-04,158.3
PJ-2019-A,キャラクターモデリング,EMP-A0062,自社,アート部,2021-04,240.6
PJ-2019-A,キャラクターモデリング,EMP-A0063,自社,アート部,2021-04,96.0
PJ-2019-A,キャラクターモデリング,EMP-A0066,自社,アート部,2021-04,55.0
PJ-2019-A,キャラクターモデリング,PTB-A0076,協力会社B,3DCGチーム,2021-04,103.0
PJ-2019-A,キャラクターモデリング,PTB-A0077,協力会社B,3DCGチーム,2021-04,94.3
PJ-2019-A,キャラクターモデリング,PTB-A0080,協力会社B,3DCGチーム,2021-04,21.0
PJ-2019-A,キャラクターモデリング,PTC-A0086,協力会社C,2Dアートチーム,2021-04,198.2
PJ-2019-A,キャラクターモデリング,PTC-A0089,協力会社C,2Dアートチーム,2021-04,70.2
PJ-2019-A,キャラクターモデリング,PTC-A0092,協力会社C,2Dアートチーム,2021-04,84.9
PJ-2019-A,クライアント実装,EMP-A0023,自社,第1開発部,2021-04,91.2
PJ-2019-A,クライアント実装,EMP-A0026,自社,第1開発部,2021-04,119.9
PJ-2019-A,クライアント実装,EMP-A0032,自社,第1開発部,2021-04,92.3
PJ-2019-A,クライアント実装,EMP-A0034,自社,第1開発部,2021-04,81.5
PJ-2019-A,クライアント実装,EMP-A0035,自社,第1開発部,2021-04,93.9
PJ-2019-A,クライアント実装,EMP-A0037,自社,第2開発部,2021-04,54.8
PJ-2019-A,クライアント実装,EMP-A0040,自社,第2開発部,2021-04,132.9
PJ-2019-A,クライアント実装,EMP-A0041,自社,第2開発部,2021-04,101.5
PJ-2019-A,クライアント実装,PTB-A0049,協力会社B,エンジニアリングチーム,2021-04,158.5
PJ-2019-A,クライアント実装,PTB-A0051,協力会社B,エンジニアリングチーム,2021-04,124.9
PJ-2019-A,ゲームバランス調整,EMP-A0019,自社,ゲームデザイン部,2021-04,118.3
PJ-2019-A,サーバ実装,EMP-A0023,自社,第1開発部,2021-04,94.1
PJ-2019-A,サーバ実装,EMP-A0025,自社,第1開発部,2021-04,44.2
PJ-2019-A,サーバ実装,EMP-A0034,自社,第1開発部,2021-04,89.0
PJ-2019-A,サーバ実装,EMP-A0036,自社,第1開発部,2021-04,119.9
PJ-2019-A,サーバ実装,PTA-A0045,協力会社A,開発支援チーム,2021-04,170.7
PJ-2019-A,シナリオ執筆,EMP-A0017,自社,ゲームデザイン部,2021-04,90.0
PJ-2019-A,シナリオ執筆,EMP-A0018,自社,ゲームデザイン部,2021-04,79.9
PJ-2019-A,ツール開発,EMP-A0024,自社,第1開発部,2021-04,64.3
PJ-2019-A,ツール開発,EMP-A0029,自社,第1開発部,2021-04,157.5
PJ-2019-A,ツール開発,EMP-A0037,自社,第2開発部,2021-04,124.3
PJ-2019-A,ツール開発,EMP-A0038,自社,第2開発部,2021-04,47.6
PJ-2019-A,デバッグ,EMP-A0106,自社,QA部,2021-04,114.1
PJ-2019-A,デバッグ,PTC-A0110,協力会社C,デバッグチーム,2021-04,25.0
PJ-2019-A,デバッグ,PTC-A0111,協力会社C,デバッグチーム,2021-04,97.8
PJ-2019-A,デバッグ,PTC-A0112,協力会社C,デバッグチーム,2021-04,113.2
PJ-2019-A,デバッグ,PTC-A0117,協力会社C,デバッグチーム,2021-04,102.5
PJ-2019-A,デバッグ,PTC-A0118,協力会社C,デバッグチーム,2021-04,122.6
PJ-2019-A,デバッグ,PTC-A0122,協力会社C,デバッグチーム,2021-04,182.6
PJ-2019-A,デバッグ,PTC-A0123,協力会社C,デバッグチーム,2021-04,113.0
PJ-2019-A,バトルデザイン,EMP-A0016,自社,ゲームデザイン部,2021-04,92.6
PJ-2019-A,バトルデザイン,EMP-A0017,自社,ゲームデザイン部,2021-04,97.2
PJ-2019-A,プロジェクト管理,EMP-A0127,自社,PMO,2021-04,120.2
PJ-2019-A,プロジェクト管理,EMP-A0128,自社,PMO,2021-04,61.9
PJ-2019-A,プロジェクト管理,EMP-A0129,自社,PMO,2021-04,127.7
PJ-2019-A,プロジェクト管理,EMP-A0130,自社,PMO,2021-04,145.5
PJ-2019-A,プロトタイプ制作,EMP-A0006,自社,企画部,2021-04,19.3
PJ-2019-A,ボイス収録,EMP-A0096,自社,サウンド部,2021-04,127.6
PJ-2019-A,ボイス収録,EMP-A0097,自社,サウンド部,2021-04,119.6
PJ-2019-A,レベルデザイン,EMP-A0010,自社,ゲームデザイン部,2021-04,92.2
PJ-2019-A,レベルデザイン,EMP-A0011,自社,ゲームデザイン部,2021-04,150.0
PJ-2019-A,ローカライズQA,PTC-A0110,協力会社C,デバッグチーム,2021-04,74.2
PJ-2019-A,ローカライズQA,PTC-A0113,協力会社C,デバッグチーム,2021-04,155.1
PJ-2019-A,企画書作成,EMP-A0006,自社,企画部,2021-04,7.2
PJ-2019-A,企画立案,EMP-A0006,自社,企画部,2021-04,16.4
PJ-2019-A,市場調査,EMP-A0003,自社,企画部,2021-04,7.4
PJ-2019-A,最適化,EMP-A0031,自社,第1開発部,2021-04,117.6
PJ-2019-A,最適化,EMP-A0040,自社,第2開発部,2021-04,160.4
PJ-2019-A,最適化,PTA-A0043,協力会社A,開発支援チーム,2021-04,121.3
PJ-2019-A,最適化,PTA-A0046,協力会社A,開発支援チーム,2021-04,134.1
PJ-2019-A,最適化,PTB-A0052,協力会社B,エンジニアリングチーム,2021-04,32.6
PJ-2019-A,移植対応,EMP-A0024,自社,第1開発部,2021-04,40.0
PJ-2019-A,移植対応,EMP-A0025,自社,第1開発部,2021-04,226.6
PJ-2019-A,移植対応,EMP-A0033,自社,第1開発部,2021-04,69.3
PJ-2019-A,背景モデリング,EMP-A0054,自社,アート部,2021-04,77.2
PJ-2019-A,背景モデリング,EMP-A0056,自社,アート部,2021-04,197.5
PJ-2019-A,背景モデリング,EMP-A0058,自社,アート部,2021-04,60.7
PJ-2019-A,背景モデリング,PTB-A0069,協力会社B,3DCGチーム,2021-04,36.2
PJ-2019-A,背景モデリング,PTB-A0071,協力会社B,3DCGチーム,2021-04,77.7
PJ-2019-A,背景モデリング,PTB-A0073,協力会社B,3DCGチーム,2021-04,65.8
PJ-2019-A,背景モデリング,PTB-A0075,協力会社B,3DCGチーム,2021-04,195.5
PJ-2019-A,背景モデリング,PTC-A0086,協力会社C,2Dアートチーム,2021-04,137.3
PJ-2019-A,背景モデリング,PTC-A0088,協力会社C,2Dアートチーム,2021-04,151.4
PJ-2019-A,背景モデリング,PTC-A0089,協力会社C,2Dアートチーム,2021-04,108.8
PJ-2019-A,背景モデリング,PTC-A0092,協力会社C,2Dアートチーム,2021-04,120.5
PJ-2019-A,進行管理,EMP-A0129,自社,PMO,2021-04,49.4
PJ-2019-A,進行管理,EMP-A0131,自社,PMO,2021-04,201.7
PJ-2019-A,2Dイラスト,EMP-A0058,自社,アート部,2021-05,156.9
PJ-2019-A,2Dイラスト,EMP-A0062,自社,アート部,2021-05,75.7
PJ-2019-A,2Dイラスト,EMP-A0064,自社,アート部,2021-05,69.3
PJ-2019-A,2Dイラスト,PTB-A0070,協力会社B,3DCGチーム,2021-05,103.9
PJ-2019-A,2Dイラスト,PTB-A0074,協力会社B,3DCGチーム,2021-05,85.3
PJ-2019-A,2Dイラスト,PTB-A0077,協力会社B,3DCGチーム,2021-05,175.5
PJ-2019-A,2Dイラスト,PTC-A0090,協力会社C,2Dアートチーム,2021-05,112.1
PJ-2019-A,BGM制作,EMP-A0093,自社,サウンド部,2021-05,190.2
PJ-2019-A,BGM制作,EMP-A0094,自社,サウンド部,2021-05,108.4
PJ-2019-A,BGM制作,EMP-A0095,自社,サウンド部,2021-05,65.3
PJ-2019-A,BGM制作,PTC-A0099,協力会社C,サウンドチーム,2021-05,148.5
PJ-2019-A,BGM制作,PTC-A0100,協力会社C,サウンドチーム,2021-05,62.9
PJ-2019-A,QA計画・進行,EMP-A0102,自社,QA部,2021-05,125.0
PJ-2019-A,QA計画・進行,EMP-A0107,自社,QA部,2021-05,167.2
PJ-2019-A,QA計画・進行,PTC-A0115,協力会社C,デバッグチーム,2021-05,103.3
PJ-2019-A,QA計画・進行,PTC-A0117,協力会社C,デバッグチーム,2021-05,33.2
PJ-2019-A,SE制作,EMP-A0093,自社,サウンド部,2021-05,130.0
PJ-2019-A,SE制作,EMP-A0096,自社,サウンド部,2021-05,186.1
PJ-2019-A,SE制作,EMP-A0097,自社,サウンド部,2021-05,64.9
PJ-2019-A,UI/UX設計,PTA-A0021,協力会社A,GDチーム,2021-05,97.6
PJ-2019-A,UIアート,EMP-A0059,自社,アート部,2021-05,116.5
PJ-2019-A,UIアート,EMP-A0065,自社,アート部,2021-05,237.1
PJ-2019-A,UIアート,PTB-A0073,協力会社B,3DCGチーム,2021-05,151.3
PJ-2019-A,UIアート,PTB-A0075,協力会社B,3DCGチーム,2021-05,106.6
PJ-2019-A,UIアート,PTB-A0081,協力会社B,3DCGチーム,2021-05,121.7
PJ-2019-A,UIアート,PTC-A0086,協力会社C,2Dアートチーム,2021-05,34.8
PJ-2019-A,UIアート,PTC-A0087,協力会社C,2Dアートチーム,2021-05,30.5
PJ-2019-A,アニメーション,EMP-A0054,自社,アート部,2021-05,139.6
PJ-2019-A,アニメーション,EMP-A0055,自社,アート部,2021-05,72.6
PJ-2019-A,アニメーション,EMP-A0060,自社,アート部,2021-05,50.8
PJ-2019-A,アニメーション,EMP-A0061,自社,アート部,2021-05,195.8
PJ-2019-A,アニメーション,EMP-A0068,自社,アート部,2021-05,120.5
PJ-2019-A,アニメーション,PTB-A0069,協力会社B,3DCGチーム,2021-05,129.0
PJ-2019-A,アニメーション,PTC-A0086,協力会社C,2Dアートチーム,2021-05,83.0
PJ-2019-A,アニメーション,PTC-A0089,協力会社C,2Dアートチーム,2021-05,69.6
PJ-2019-A,アニメーション,PTC-A0091,協力会社C,2Dアートチーム,2021-05,114.3
PJ-2019-A,エフェクト,EMP-A0053,自社,アート部,2021-05,149.8
PJ-2019-A,エフェクト,EMP-A0068,自社,アート部,2021-05,41.7
PJ-2019-A,エフェクト,PTB-A0070,協力会社B,3DCGチーム,2021-05,140.5
PJ-2019-A,エフェクト,PTB-A0073,協力会社B,3DCGチーム,2021-05,107.7
PJ-2019-A,エフェクト,PTB-A0076,協力会社B,3DCGチーム,2021-05,83.6
PJ-2019-A,エフェクト,PTB-A0077,協力会社B,3DCGチーム,2021-05,154.3
PJ-2019-A,エフェクト,PTC-A0086,協力会社C,2Dアートチーム,2021-05,42.3
PJ-2019-A,エンジン開発,EMP-A0026,自社,第1開発部,2021-05,62.3
PJ-2019-A,エンジン開発,EMP-A0027,自社,第1開発部,2021-05,72.3
PJ-2019-A,エンジン開発,EMP-A0033,自社,第1開発部,2021-05,160.1
PJ-2019-A,エンジン開発,PTA-A0043,協力会社A,開発支援チーム,2021-05,139.7
PJ-2019-A,キャラクターモデリング,EMP-A0053,自社,アート部,2021-05,117.2
PJ-2019-A,キャラクターモデリング,EMP-A0055,自社,アート部,2021-05,46.9
PJ-2019-A,キャラクターモデリング,EMP-A0058,自社,アート部,2021-05,132.3
PJ-2019-A,キャラクターモデリング,EMP-A0059,自社,アート部,2021-05,152.6
PJ-2019-A,キャラクターモデリング,EMP-A0067,自社,アート部,2021-05,109.7
PJ-2019-A,キャラクターモデリング,PTB-A0070,協力会社B,3DCGチーム,2021-05,156.9
PJ-2019-A,キャラクターモデリング,PTB-A0075,協力会社B,3DCGチーム,2021-05,31.8
PJ-2019-A,キャラクターモデリング,PTB-A0076,協力会社B,3DCGチーム,2021-05,77.3
PJ-2019-A,キャラクターモデリング,PTB-A0079,協力会社B,3DCGチーム,2021-05,67.0
PJ-2019-A,キャラクターモデリング,PTB-A0081,協力会社B,3DCGチーム,2021-05,224.5
PJ-2019-A,キャラクターモデリング,PTB-A0082,協力会社B,3DCGチーム,2021-05,176.6
PJ-2019-A,キャラクターモデリング,PTC-A0083,協力会社C,2Dアートチーム,2021-05,108.1
PJ-2019-A,キャラクターモデリング,PTC-A0086,協力会社C,2Dアートチーム,2021-05,70.7
PJ-2019-A,キャラクターモデリング,PTC-A0088,協力会社C,2Dアートチーム,2021-05,88.5
PJ-2019-A,キャラクターモデリング,PTC-A0089,協力会社C,2Dアートチーム,2021-05,82.9
PJ-2019-A,クライアント実装,EMP-A0025,自社,第1開発部,2021-05,70.4
PJ-2019-A,クライアント実装,EMP-A0026,自社,第1開発部,2021-05,191.7
PJ-2019-A,クライアント実装,EMP-A0028,自社,第1開発部,2021-05,207.0
PJ-2019-A,クライアント実装,EMP-A0030,自社,第1開発部,2021-05,99.8
PJ-2019-A,クライアント実装,EMP-A0033,自社,第1開発部,2021-05,79.3
PJ-2019-A,クライアント実装,EMP-A0035,自社,第1開発部,2021-05,110.5
PJ-2019-A,クライアント実装,PTA-A0046,協力会社A,開発支援チーム,2021-05,72.0
PJ-2019-A,クライアント実装,PTA-A0047,協力会社A,開発支援チーム,2021-05,65.7
PJ-2019-A,クライアント実装,PTB-A0050,協力会社B,エンジニアリングチーム,2021-05,106.5
PJ-2019-A,ゲームバランス調整,EMP-A0014,自社,ゲームデザイン部,2021-05,122.3
PJ-2019-A,サーバ実装,EMP-A0028,自社,第1開発部,2021-05,39.6
PJ-2019-A,サーバ実装,EMP-A0030,自社,第1開発部,2021-05,112.6
